provincia,anyo,entradas,salidas,saldo_neto,tasa_atraccion,delta_saldo_yoy,ranking_atraccion_anio
Asturias,2021,4154,6988,-2834,-0.6822,-344,37
Badajoz,2008,2121,6486,-4365,-2.058,,41
Badajoz,2009,9417,6152,3265,0.3467,7630,19
Badajoz,2010,4003,6174,-2171,-0.5423,-5436,34
Badajoz,2011,5986,6405,-419,-0.07,1752,26
Badajoz,2012,1697,6450,-4753,-2.8008,-4334,40
Badajoz,2013,7023,6381,642,0.0914,5395,25
Badajoz,2014,5298,6768,-1470,-0.2775,-2112,28
Badajoz,2015,12470,6620,5850,0.4691,7320,10
Badajoz,2016,41369,6807,34562,0.8355,28712,2
Badajoz,2017,16844,6868,9976,0.5923,-24586,7
Badajoz,2018,4228,6878,-2650,-0.6268,-12626,35
Badajoz,2019,2580,6930,-4350,-1.686,-1700,40
Badajoz,2020,11099,5086,6013,0.5418,10363,12
Badajoz,2021,19526,6172,13354,0.6839,7341,5
"Balears, Illes",2008,20257,15223,5034,0.2485,,13
"Balears, Illes",2009,2738,16095,-13357,-4.8784,-18391,49
"Balears, Illes",2010,8336,16576,-8240,-0.9885,5117,46
"Balears, Illes",2011,6734,16104,-9370,-1.3914,-1130,48
"Balears, Illes",2012,5108,13913,-8805,-1.7238,565,46
"Balears, Illes",2013,42972,12556,30416,0.7078,39221,2
"Balears, Illes",2014,6835,13364,-6529,-0.9552,-36945,40
"Balears, Illes",2015,5670,13672,-8002,-1.4113,-1473,46
