Comunidad Autónoma,Provincia,año,cob_100mbps
Ciudad Autónoma De Ceuta,Ceuta,2016,0.8488776344379331
Ciudad Autónoma De Ceuta,Ceuta,2017,0.868763236668678
Ciudad Autónoma De Ceuta,Ceuta,2018,0.8572370202097482
Ciudad Autónoma De Ceuta,Ceuta,2019,0.9134301607934346
Ciudad Autónoma De Ceuta,Ceuta,2020,0.9278171858216481
Ciudad Autónoma De Ceuta,Ceuta,2021,0.9928216685447185
Ciudad Autónoma De Ceuta,Ceuta,2022,0.993236873386072
Ciudad Autónoma De Ceuta,Ceuta,2023,0.9929654779815394
Ciudad Autónoma De Ceuta,Ceuta,2024,0.9617501821419898
Castilla-La Mancha,Ciudad Real,2013,0.29573709467737447
Castilla-La Mancha,Ciudad Real,2014,0.3362153318983823
Castilla-La Mancha,Ciudad Real,2015,0.3482823744151128
Castilla-La Mancha,Ciudad Real,2016,0.4019070518117511
Castilla-La Mancha,Ciudad Real,2017,0.5230104797626793
Castilla-La Mancha,Ciudad Real,2018,0.6482075602330951
Castilla-La Mancha,Ciudad Real,2019,0.7084700261575126
Castilla-La Mancha,Ciudad Real,2020,0.8602931099477978
Castilla-La Mancha,Ciudad Real,2021,0.8805283566642698
Castilla-La Mancha,Ciudad Real,2022,0.872525564344974
Castilla-La Mancha,Ciudad Real,2023,0.9277040242203408
Castilla-La Mancha,Ciudad Real,2024,0.9354515251382083
Galicia,"Coruña, A",2013,0.6222976263322656
Galicia,"Coruña, A",2014,0.6237094093246265
Galicia,"Coruña, A",2015,0.6298488609912569
Galicia,"Coruña, A",2016,0.638878784329119
Galicia,"Coruña, A",2017,0.6497509771611915
Galicia,"Coruña, A",2018,0.6694663636012278
Galicia,"Coruña, A",2019,0.7066062104334424
Galicia,"Coruña, A",2020,0.7560025262754797
Galicia,"Coruña, A",2021,0.8269501296187702
Galicia,"Coruña, A",2022,0.8312748336081878
Galicia,"Coruña, A",2023,0.8813252676846766
Galicia,"Coruña, A",2024,0.9115602263540824
Castilla-La Mancha,Cuenca,2013,0.2570452739228656
Castilla-La Mancha,Cuenca,2014,0.2570452739228656
Castilla-La Mancha,Cuenca,2015,0.2610267445349758
Castilla-La Mancha,Cuenca,2016,0.26192740886734023
Castilla-La Mancha,Cuenca,2017,0.33528560004105223
Castilla-La Mancha,Cuenca,2018,0.5547168397591097
Castilla-La Mancha,Cuenca,2019,0.6520370125477875
Castilla-La Mancha,Cuenca,2020,0.7688127138092342
Castilla-La Mancha,Cuenca,2021,0.750598959485685
Castilla-La Mancha,Cuenca,2022,0.7911704133789886
Castilla-La Mancha,Cuenca,2023,0.8874076788455828
Castilla-La Mancha,Cuenca,2024,0.8880734986969883
Extremadura,Cáceres,2013,0.23733965191320006
Extremadura,Cáceres,2014,0.25033303965561227
Extremadura,Cáceres,2015,0.29361298913358586
Extremadura,Cáceres,2016,0.3359224960459309
Extremadura,Cáceres,2017,0.4238111888863281
Extremadura,Cáceres,2018,0.48811675699823226
Extremadura,Cáceres,2019,0.5342111755737994
Extremadura,Cáceres,2020,0.6888011994163247
Extremadura,Cáceres,2021,0.7979230620800954
Extremadura,Cáceres,2022,0.821614996443254
Extremadura,Cáceres,2023,0.8936187269520602
Extremadura,Cáceres,2024,0.9060460782711783
Andalucía,Cádiz,2013,0.6726156892863626
Andalucía,Cádiz,2014,0.684217162273499
Andalucía,Cádiz,2015,0.6999874115333765
Andalucía,Cádiz,2016,0.7115890633946375
Andalucía,Cádiz,2017,0.7831340028705953
Andalucía,Cádiz,2018,0.8273072347442948
Andalucía,Cádiz,2019,0.8403734513396872
Andalucía,Cádiz,2020,0.8663370997714555
Andalucía,Cádiz,2021,0.9221547792098987
Andalucía,Cádiz,2022,0.9231712827405761
Andalucía,Cádiz,2023,0.9564916316712363
Andalucía,Cádiz,2024,0.9700367196256606
Andalucía,Córdoba,2013,0.44051899514499854
Andalucía,Córdoba,2014,0.5206271958562751
Andalucía,Córdoba,2015,0.5494255873752609
Andalucía,Córdoba,2016,0.5710728561260309
Andalucía,Córdoba,2017,0.626952847532977
Andalucía,Córdoba,2018,0.7273724621616321
Andalucía,Córdoba,2019,0.8754309647727166
Andalucía,Córdoba,2020,0.9055121785457771
Andalucía,Córdoba,2021,0.889992616443257
Andalucía,Córdoba,2022,0.8790652502338073
Andalucía,Córdoba,2023,0.922641315338507
Andalucía,Córdoba,2024,0.93233219692621
Pais Vasco,Gipuzkoa,2013,0.8266708873266987
Pais Vasco,Gipuzkoa,2014,0.8321120908450478
Pais Vasco,Gipuzkoa,2015,0.8483317161201352
Pais Vasco,Gipuzkoa,2016,0.9327943823641488
Pais Vasco,Gipuzkoa,2017,0.9621807801951556
Pais Vasco,Gipuzkoa,2018,0.9674356242392198
Pais Vasco,Gipuzkoa,2019,0.9757907999353695
Pais Vasco,Gipuzkoa,2020,0.9601706523977303
Pais Vasco,Gipuzkoa,2021,0.9395430513696877
Pais Vasco,Gipuzkoa,2022,0.9520057134786397
Pais Vasco,Gipuzkoa,2023,0.964455082252579
Pais Vasco,Gipuzkoa,2024,0.9733229993728627
Cataluña,Girona,2013,0.14701015456434882
Cataluña,Girona,2014,0.25520596694288245
Cataluña,Girona,2015,0.34072325149720833
Cataluña,Girona,2016,0.400035330135347
Cataluña,Girona,2017,0.5379857022564865
Cataluña,Girona,2018,0.583831559075782
Cataluña,Girona,2019,0.6038651673426348
Cataluña,Girona,2020,0.7183704273759254
Cataluña,Girona,2021,0.8145259130065459
Cataluña,Girona,2022,0.902774938773936
Cataluña,Girona,2023,0.9476603356760931
Cataluña,Girona,2024,0.9686719121482928
Andalucía,Granada,2013,0.3111982232279426
Andalucía,Granada,2014,0.3603416159744601
Andalucía,Granada,2015,0.45777195800899
Andalucía,Granada,2016,0.5485244102650384
Andalucía,Granada,2017,0.6002364002168297
Andalucía,Granada,2018,0.6656550027159284
Andalucía,Granada,2019,0.7202433179610414
Andalucía,Granada,2020,0.8081724213509597
Andalucía,Granada,2021,0.881712813908564
Andalucía,Granada,2022,0.8969070308180258
Andalucía,Granada,2023,0.9369588275349645
Andalucía,Granada,2024,0.9376382244601276
Castilla-La Mancha,Guadalajara,2013,0.2999725107586685
Castilla-La Mancha,Guadalajara,2014,0.30029724213804265
Castilla-La Mancha,Guadalajara,2015,0.39008087544335585
Castilla-La Mancha,Guadalajara,2016,0.4742091520160079
Castilla-La Mancha,Guadalajara,2017,0.5784034267523065
Castilla-La Mancha,Guadalajara,2018,0.6271697875557862
Castilla-La Mancha,Guadalajara,2019,0.6904234494363762
Castilla-La Mancha,Guadalajara,2020,0.7646066197633702
Castilla-La Mancha,Guadalajara,2021,0.7325526983655112
Castilla-La Mancha,Guadalajara,2022,0.7852254197819697
Castilla-La Mancha,Guadalajara,2023,0.833756484055243
Castilla-La Mancha,Guadalajara,2024,0.8445316411607201
Andalucía,Huelva,2013,0.3680496628904001
Andalucía,Huelva,2014,0.40962389727514326
Andalucía,Huelva,2015,0.40755408232808027
Andalucía,Huelva,2016,0.41388718911017774
Andalucía,Huelva,2017,0.5615338237939906
Andalucía,Huelva,2018,0.6193405068489242
Andalucía,Huelva,2019,0.7006916933406897
Andalucía,Huelva,2020,0.7972839312998616
Andalucía,Huelva,2021,0.8377418416727389
Andalucía,Huelva,2022,0.8765654198207329
Andalucía,Huelva,2023,0.93080559187368
Andalucía,Huelva,2024,0.950143896523848
Aragón,Huesca,2013,0.23389588811749926
Aragón,Huesca,2014,0.23484937540385195
Aragón,Huesca,2015,0.2630960173118491
Aragón,Huesca,2016,0.297846716031182
Aragón,Huesca,2017,0.4519120221977225
Aragón,Huesca,2018,0.5993815740146938
Aragón,Huesca,2019,0.714549039349393
Aragón,Huesca,2020,0.7855133786456792
Aragón,Huesca,2021,0.7055941100446524
Aragón,Huesca,2022,0.6320141477870185
Aragón,Huesca,2023,0.8379632711100354
Aragón,Huesca,2024,0.8186776599351058
Andalucía,Jaén,2013,0.2601276201834406
Andalucía,Jaén,2014,0.31444556487816655
Andalucía,Jaén,2015,0.3540021053469678
Andalucía,Jaén,2016,0.3796021146998558
Andalucía,Jaén,2017,0.5628124119183255
Andalucía,Jaén,2018,0.6950898271808418
Andalucía,Jaén,2019,0.8198946362811709
Andalucía,Jaén,2020,0.9082566837301935
Andalucía,Jaén,2021,0.8718963069180268
Andalucía,Jaén,2022,0.8946180937706362
Andalucía,Jaén,2023,0.9242737080059984
Andalucía,Jaén,2024,0.913780315434457
Castilla Y León,León,2013,0.49186218776234375
Castilla Y León,León,2014,0.49296491640897666
Castilla Y León,León,2015,0.4949413389053559
Castilla Y León,León,2016,0.5249824875645498
Castilla Y León,León,2017,0.578837664999722
Castilla Y León,León,2018,0.6209267433576076
Castilla Y León,León,2019,0.6393231449096802
Castilla Y León,León,2020,0.7181507795245791
Castilla Y León,León,2021,0.6658604400861037
Castilla Y León,León,2022,0.7374784722776109
Castilla Y León,León,2023,0.8367138749358691
Castilla Y León,León,2024,0.8510036249043138
Cataluña,Lleida,2013,0.28786070683829573
Cataluña,Lleida,2014,0.28823829230924447
Cataluña,Lleida,2015,0.38130860899428
Cataluña,Lleida,2016,0.4389098932833559
Cataluña,Lleida,2017,0.573360495890079
