ccaa,provincia,anyo,cob_100mbps_pct,delta_yoy,ranking_anio
Ciudad Autónoma De Ceuta,Ceuta,2021,99.2822,6.5005,2
Ciudad Autónoma De Ceuta,Ceuta,2022,99.3237,0.0415,2
Ciudad Autónoma De Ceuta,Ceuta,2023,99.2965,-0.0272,1
Ciudad Autónoma De Ceuta,Ceuta,2024,96.175,-3.1215,13
Castilla-La Mancha,Ciudad Real,2013,29.5737,,40
Castilla-La Mancha,Ciudad Real,2014,33.6215,4.0478,37
Castilla-La Mancha,Ciudad Real,2015,34.8282,1.2067,42
Castilla-La Mancha,Ciudad Real,2016,40.1907,5.3625,41
Castilla-La Mancha,Ciudad Real,2017,52.301,12.1103,40
Castilla-La Mancha,Ciudad Real,2018,64.8208,12.5198,33
Castilla-La Mancha,Ciudad Real,2019,70.847,6.0262,30
Castilla-La Mancha,Ciudad Real,2020,86.0293,15.1823,22
Castilla-La Mancha,Ciudad Real,2021,88.0528,2.0235,23
Castilla-La Mancha,Ciudad Real,2022,87.2526,-0.8002,31
Castilla-La Mancha,Ciudad Real,2023,92.7704,5.5178,24
Castilla-La Mancha,Ciudad Real,2024,93.5452,0.7748,26
Galicia,"Coruña, A",2013,62.2298,,14
Galicia,"Coruña, A",2014,62.3709,0.1411,18
Galicia,"Coruña, A",2015,62.9849,0.614,20
Galicia,"Coruña, A",2016,63.8879,0.903,23
Galicia,"Coruña, A",2017,64.9751,1.0872,24
Galicia,"Coruña, A",2018,66.9466,1.9715,29
Galicia,"Coruña, A",2019,70.6606,3.714,32
Galicia,"Coruña, A",2020,75.6003,4.9397,36
Galicia,"Coruña, A",2021,82.695,7.0947,32
Galicia,"Coruña, A",2022,83.1275,0.4325,35
Galicia,"Coruña, A",2023,88.1325,5.005,38
Galicia,"Coruña, A",2024,91.156,3.0235,36
Castilla-La Mancha,Cuenca,2013,25.7045,,46
Castilla-La Mancha,Cuenca,2014,25.7045,0.0,46
Castilla-La Mancha,Cuenca,2015,26.1027,0.3982,50
Castilla-La Mancha,Cuenca,2016,26.1927,0.09,51
Castilla-La Mancha,Cuenca,2017,33.5286,7.3359,52
Castilla-La Mancha,Cuenca,2018,55.4717,21.9431,45
Castilla-La Mancha,Cuenca,2019,65.2037,9.732,41
Castilla-La Mancha,Cuenca,2020,76.8813,11.6776,32
Castilla-La Mancha,Cuenca,2021,75.0599,-1.8214,39
Castilla-La Mancha,Cuenca,2022,79.117,4.0571,38
Castilla-La Mancha,Cuenca,2023,88.7408,9.6238,36
Castilla-La Mancha,Cuenca,2024,88.8073,0.0665,41
Extremadura,Cáceres,2013,23.734,,47
Extremadura,Cáceres,2014,25.0333,1.2993,48
Extremadura,Cáceres,2015,29.3613,4.328,47
Extremadura,Cáceres,2016,33.5922,4.2309,46
Extremadura,Cáceres,2017,42.3811,8.7889,49
Extremadura,Cáceres,2018,48.8117,6.4306,50
Extremadura,Cáceres,2019,53.4211,4.6094,48
Extremadura,Cáceres,2020,68.8801,15.459,46
Extremadura,Cáceres,2021,79.7923,10.9122,36
Extremadura,Cáceres,2022,82.1615,2.3692,36
Extremadura,Cáceres,2023,89.3619,7.2004,35
Extremadura,Cáceres,2024,90.6046,1.2427,37
Andalucía,Cádiz,2013,67.2616,,9
Andalucía,Cádiz,2014,68.4217,1.1601,13
Andalucía,Cádiz,2015,69.9987,1.577,12
Andalucía,Cádiz,2016,71.1589,1.1602,15
Andalucía,Cádiz,2017,78.3134,7.1545,15
Andalucía,Cádiz,2018,82.7307,4.4173,15
Andalucía,Cádiz,2019,84.0373,1.3066,15
Andalucía,Cádiz,2020,86.6337,2.5964,21
Andalucía,Cádiz,2021,92.2155,5.5818,14
Andalucía,Cádiz,2022,92.3171,0.1016,18
Andalucía,Cádiz,2023,95.6492,3.3321,12
Andalucía,Cádiz,2024,97.0037,1.3545,9
Andalucía,Córdoba,2013,44.0519,,30
Andalucía,Córdoba,2014,52.0627,8.0108,24
Andalucía,Córdoba,2015,54.9426,2.8799,25
Andalucía,Córdoba,2016,57.1073,2.1647,26
Andalucía,Córdoba,2017,62.6953,5.588,26
Andalucía,Córdoba,2018,72.7372,10.0419,25
Andalucía,Córdoba,2019,87.5431,14.8059,11
Andalucía,Córdoba,2020,90.5512,3.0081,16
Andalucía,Córdoba,2021,88.9993,-1.5519,19
Andalucía,Córdoba,2022,87.9065,-1.0928,29
Andalucía,Córdoba,2023,92.2641,4.3576,30
Andalucía,Córdoba,2024,93.2332,0.9691,28
Pais Vasco,Gipuzkoa,2013,82.6671,,4
Pais Vasco,Gipuzkoa,2014,83.2112,0.5441,5
Pais Vasco,Gipuzkoa,2015,84.8332,1.622,5
Pais Vasco,Gipuzkoa,2016,93.2794,8.4462,3
Pais Vasco,Gipuzkoa,2017,96.2181,2.9387,2
Pais Vasco,Gipuzkoa,2018,96.7436,0.5255,3
Pais Vasco,Gipuzkoa,2019,97.5791,0.8355,2
Pais Vasco,Gipuzkoa,2020,96.0171,-1.562,4
Pais Vasco,Gipuzkoa,2021,93.9543,-2.0628,8
Pais Vasco,Gipuzkoa,2022,95.2006,1.2463,6
Pais Vasco,Gipuzkoa,2023,96.4455,1.2449,8
Pais Vasco,Gipuzkoa,2024,97.3323,0.8868,6
Cataluña,Girona,2013,14.701,,51
Cataluña,Girona,2014,25.5206,10.8196,47
Cataluña,Girona,2015,34.0723,8.5517,44
Cataluña,Girona,2016,40.0035,5.9312,42
Cataluña,Girona,2017,53.7986,13.7951,38
Cataluña,Girona,2018,58.3832,4.5846,43
Cataluña,Girona,2019,60.3865,2.0033,44
Cataluña,Girona,2020,71.837,11.4505,43
Cataluña,Girona,2021,81.4526,9.6156,35
Cataluña,Girona,2022,90.2775,8.8249,22
Cataluña,Girona,2023,94.766,4.4885,13
Cataluña,Girona,2024,96.8672,2.1012,10
Andalucía,Granada,2013,31.1198,,36
Andalucía,Granada,2014,36.0342,4.9144,36
Andalucía,Granada,2015,45.7772,9.743,33
Andalucía,Granada,2016,54.8524,9.0752,28
Andalucía,Granada,2017,60.0236,5.1712,29
Andalucía,Granada,2018,66.5655,6.5419,30
Andalucía,Granada,2019,72.0243,5.4588,28
Andalucía,Granada,2020,80.8172,8.7929,26
Andalucía,Granada,2021,88.1713,7.3541,22
Andalucía,Granada,2022,89.6907,1.5194,25
Andalucía,Granada,2023,93.6959,4.0052,18
Andalucía,Granada,2024,93.7638,0.0679,24
Castilla-La Mancha,Guadalajara,2013,29.9973,,37
Castilla-La Mancha,Guadalajara,2014,30.0297,0.0324,40
Castilla-La Mancha,Guadalajara,2015,39.0081,8.9784,39
Castilla-La Mancha,Guadalajara,2016,47.4209,8.4128,35
Castilla-La Mancha,Guadalajara,2017,57.8403,10.4194,32
Castilla-La Mancha,Guadalajara,2018,62.717,4.8767,35
Castilla-La Mancha,Guadalajara,2019,69.0423,6.3253,34
Castilla-La Mancha,Guadalajara,2020,76.4607,7.4184,34
Castilla-La Mancha,Guadalajara,2021,73.2553,-3.2054,40
