provincia,anyo,compraventas_vivienda,poblacion_provincia,viajeros,pernoctaciones,compraventas_per_capita
Castellón/Castelló,2009,25500.0,602301.0,8915720.0,252076.0,0.042338
Castellón/Castelló,2009,25500.0,303460.0,8915720.0,252076.0,0.084031
Castellón/Castelló,2009,25500.0,298841.0,8915720.0,252076.0,0.08533
Castellón/Castelló,2010,22680.0,604274.0,8677463.0,253305.0,0.037533
Castellón/Castelló,2010,22680.0,303490.0,8677463.0,253305.0,0.074731
Castellón/Castelló,2010,22680.0,300784.0,8677463.0,253305.0,0.075403
Castellón/Castelló,2011,19335.0,604344.0,8646075.0,243262.0,0.031993
Castellón/Castelló,2011,19335.0,302855.0,8646075.0,243262.0,0.063842
Castellón/Castelló,2011,19335.0,301489.0,8646075.0,243262.0,0.064132
Castellón/Castelló,2012,19764.0,604564.0,8331177.0,240875.0,0.032691
Castellón/Castelló,2012,19764.0,302927.0,8331177.0,240875.0,0.065243
Castellón/Castelló,2012,19764.0,301637.0,8331177.0,240875.0,0.065522
Castellón/Castelló,2013,17673.0,601699.0,8568058.0,244700.0,0.029372
Castellón/Castelló,2013,17673.0,300992.0,8568058.0,244700.0,0.058716
Castellón/Castelló,2013,17673.0,300707.0,8568058.0,244700.0,0.058771
