provincia,anyo,entradas,salidas,saldo_neto,tasa_atraccion,delta_saldo_yoy,ranking_atraccion_anio,compraventas_vivienda,poblacion_provincia,viajeros,pernoctaciones,compraventas_per_capita,cob_100mbps_pct,ranking_anio
Almería,2011,20069,10706,9363,0.4665,7439,7,29652.0,361189.0,11013504.0,384411.0,0.082096,,
Almería,2011,20069,10706,9363,0.4665,7439,7,29652.0,341630.0,11013504.0,384411.0,0.086796,,
Almería,2012,3801,8356,-4555,-1.1984,-13918,41,22383.0,704219.0,10241538.0,368234.0,0.031784,,
Almería,2012,3801,8356,-4555,-1.1984,-13918,41,22383.0,359547.0,10241538.0,368234.0,0.062253,,
Almería,2012,3801,8356,-4555,-1.1984,-13918,41,22383.0,344672.0,10241538.0,368234.0,0.06494,,
Almería,2013,10222,7695,2527,0.2472,7082,13,24627.0,699329.0,10943169.0,372650.0,0.035215,29.916,38.0
Almería,2013,10222,7695,2527,0.2472,7082,13,24627.0,355658.0,10943169.0,372650.0,0.069243,29.916,38.0
Almería,2013,10222,7695,2527,0.2472,7082,13,24627.0,343671.0,10943169.0,372650.0,0.071659,29.916,38.0
Almería,2014,3414,7639,-4225,-1.2376,-6752,44,20487.0,701688.0,11474810.0,376682.0,0.029197,27.1518,45.0
Almería,2014,3414,7639,-4225,-1.2376,-6752,44,20487.0,356663.0,11474810.0,376682.0,0.057441,27.1518,45.0
Almería,2014,3414,7639,-4225,-1.2376,-6752,44,20487.0,345025.0,11474810.0,376682.0,0.059378,27.1518,45.0
Almería,2015,4500,8072,-3572,-0.7938,653,39,21915.0,701211.0,12129671.0,515174.0,0.031253,39.8375,38.0
Almería,2015,4500,8072,-3572,-0.7938,653,39,21915.0,356058.0,12129671.0,515174.0,0.061549,39.8375,38.0
Almería,2015,4500,8072,-3572,-0.7938,653,39,21915.0,345153.0,12129671.0,515174.0,0.063494,39.8375,38.0
Almería,2016,1677,7607,-5930,-3.5361,-2358,40,27927.0,704297.0,13781483.0,534664.0,0.039652,45.2538,37.0
Almería,2016,1677,7607,-5930,-3.5361,-2358,40,27927.0,358223.0,13781483.0,534664.0,0.07796,45.2538,37.0
Almería,2016,1677,7607,-5930,-3.5361,-2358,40,27927.0,346074.0,13781483.0,534664.0,0.080697,45.2538,37.0
Almería,2017,1918,7789,-5871,-3.061,59,44,26703.0,706672.0,13920081.0,533353.0,0.037787,56.4489,35.0
Almería,2017,1918,7789,-5871,-3.061,59,44,26703.0,359676.0,13920081.0,533353.0,0.074242,56.4489,35.0
Almería,2017,1918,7789,-5871,-3.061,59,44,26703.0,346996.0,13920081.0,533353.0,0.076955,56.4489,35.0
Almería,2018,1949,8226,-6277,-3.2206,-406,41,31689.0,709340.0,14126632.0,539224.0,0.044674,65.126,32.0
Almería,2018,1949,8226,-6277,-3.2206,-406,41,31689.0,361319.0,14126632.0,539224.0,0.087704,65.126,32.0
Almería,2018,1949,8226,-6277,-3.2206,-406,41,31689.0,348021.0,14126632.0,539224.0,0.091055,65.126,32.0
Almería,2019,3539,8531,-4992,-1.4106,1285,40,32238.0,716820.0,13796829.0,534464.0,0.044974,67.8442,36.0
Almería,2019,3539,8531,-4992,-1.4106,1285,40,32238.0,365701.0,13796829.0,534464.0,0.088154,67.8442,36.0
Almería,2019,3539,8531,-4992,-1.4106,1285,40,32238.0,351119.0,13796829.0,534464.0,0.091815,67.8442,36.0
Almería,2020,3488,7003,-3515,-1.0077,1477,43,27933.0,727945.0,4295176.0,263280.0,0.038372,71.967,42.0
Almería,2020,3488,7003,-3515,-1.0077,1477,43,27933.0,371558.0,4295176.0,263280.0,0.075178,71.967,42.0
Almería,2020,3488,7003,-3515,-1.0077,1477,43,27933.0,356387.0,4295176.0,263280.0,0.078378,71.967,42.0
Almería,2021,3944,8025,-4081,-1.0347,-566,41,40407.0,731792.0,8152203.0,342067.0,0.055217,85.7542,29.0
Almería,2021,3944,8025,-4081,-1.0347,-566,41,40407.0,373136.0,8152203.0,342067.0,0.10829,85.7542,29.0
Almería,2021,3944,8025,-4081,-1.0347,-566,41,40407.0,358656.0,8152203.0,342067.0,0.112662,85.7542,29.0
Araba/Álava,2008,2285,3724,-1439,-0.6298,,31,11196.0,309635.0,1564806.0,51052.0,0.036159,,
Araba/Álava,2008,2285,3724,-1439,-0.6298,,31,11196.0,154376.0,1564806.0,51052.0,0.072524,,
Araba/Álava,2008,2285,3724,-1439,-0.6298,,31,11196.0,155259.0,1564806.0,51052.0,0.072112,,
Araba/Álava,2009,9401,3672,5729,0.6094,7168,12,9381.0,313819.0,1608240.0,55370.0,0.029893,,
Araba/Álava,2009,9401,3672,5729,0.6094,7168,12,9381.0,156418.0,1608240.0,55370.0,0.059974,,
Araba/Álava,2009,9401,3672,5729,0.6094,7168,12,9381.0,157401.0,1608240.0,55370.0,0.059599,,
Araba/Álava,2010,18029,3670,14359,0.7964,8630,4,13305.0,317352.0,1871766.0,57745.0,0.041925,,
