provincia,anyo,flujo_hombres,flujo_mujeres,flujo_total,ratio_feminizacion,brecha_absoluta,saldo_neto,tasa_atraccion,cob_100mbps_pct,compraventas_per_capita
Badajoz,2013,6499.0,6254.0,12753.0,49.03944169999216,-245.0,-1928,-0.433,26.9287,0.026263
Badajoz,2014,6745.0,6798.0,13543.0,50.19567304142362,53.0,-1925,-0.3975,27.447,0.014472
Badajoz,2014,6745.0,6798.0,13543.0,50.19567304142362,53.0,-1925,-0.3975,27.447,0.029181
Badajoz,2014,6745.0,6798.0,13543.0,50.19567304142362,53.0,-1925,-0.3975,27.447,0.02871
Badajoz,2015,6714.0,6528.0,13242.0,49.29768917082012,-186.0,-2290,-0.5289,34.7667,0.015032
Badajoz,2015,6714.0,6528.0,13242.0,49.29768917082012,-186.0,-2290,-0.5289,34.7667,0.030328
Badajoz,2015,6714.0,6528.0,13242.0,49.29768917082012,-186.0,-2290,-0.5289,34.7667,0.029805
Badajoz,2016,6998.0,6621.0,13619.0,48.61590425141347,-377.0,-938,-0.1598,39.9084,0.018111
Badajoz,2016,6998.0,6621.0,13619.0,48.61590425141347,-377.0,-938,-0.1598,39.9084,0.036554
Badajoz,2016,6998.0,6621.0,13619.0,48.61590425141347,-377.0,-938,-0.1598,39.9084,0.035896
Badajoz,2017,7132.0,6604.0,13736.0,48.07804309842749,-528.0,-3173,-0.8587,52.247,0.019022
Badajoz,2017,7132.0,6604.0,13736.0,48.07804309842749,-528.0,-3173,-0.8587,52.247,0.038426
Badajoz,2017,7132.0,6604.0,13736.0,48.07804309842749,-528.0,-3173,-0.8587,52.247,0.037671
Badajoz,2018,7108.0,6648.0,13756.0,48.32800232625763,-460.0,3771,0.3541,59.776,0.020558
Badajoz,2018,7108.0,6648.0,13756.0,48.32800232625763,-460.0,3771,0.3541,59.776,0.041553
Badajoz,2018,7108.0,6648.0,13756.0,48.32800232625763,-460.0,3771,0.3541,59.776,0.040689
Badajoz,2019,7194.0,6666.0,13860.0,48.095238095238095,-528.0,5706,0.4516,70.7889,0.021905
Badajoz,2019,7194.0,6666.0,13860.0,48.095238095238095,-528.0,5706,0.4516,70.7889,0.044291
Badajoz,2019,7194.0,6666.0,13860.0,48.095238095238095,-528.0,5706,0.4516,70.7889,0.043337
Badajoz,2020,5264.0,4908.0,10172.0,48.25009830908376,-356.0,-3643,-2.5246,80.1551,0.020683
Badajoz,2020,5264.0,4908.0,10172.0,48.25009830908376,-356.0,-3643,-2.5246,80.1551,0.041848
Badajoz,2020,5264.0,4908.0,10172.0,48.25009830908376,-356.0,-3643,-2.5246,80.1551,0.040896
Badajoz,2021,6294.0,6050.0,12344.0,49.01166558651976,-244.0,9331,0.6019,86.777,0.026949
Badajoz,2021,6294.0,6050.0,12344.0,49.01166558651976,-244.0,9331,0.6019,86.777,0.05454
Badajoz,2021,6294.0,6050.0,12344.0,49.01166558651976,-244.0,9331,0.6019,86.777,0.05327
"Balears, Illes",2013,13949.0,11149.0,25098.0,44.421866284166065,-2800.0,-1290,-0.1145,45.6825,0.021133
"Balears, Illes",2013,13949.0,11149.0,25098.0,44.421866284166065,-2800.0,-1290,-0.1145,45.6825,0.04236
"Balears, Illes",2013,13949.0,11149.0,25098.0,44.421866284166065,-2800.0,-1290,-0.1145,45.6825,0.042172
"Balears, Illes",2014,14807.0,11925.0,26732.0,44.60945683076463,-2882.0,-3617,-0.3711,44.4316,0.025151
"Balears, Illes",2014,14807.0,11925.0,26732.0,44.60945683076463,-2882.0,-3617,-0.3711,44.4316,0.050478
"Balears, Illes",2014,14807.0,11925.0,26732.0,44.60945683076463,-2882.0,-3617,-0.3711,44.4316,0.050128
"Balears, Illes",2015,15201.0,12142.0,27343.0,44.40624657133453,-3059.0,5913,0.3019,59.1245,0.0288
