CCAA,año,tasa_paro,compraventas,ipv_vivienda
"Madrid, Comunidad de",2020,,58538.0,121.5112
"Madrid, Comunidad de",2021,11.55,80936.0,126.4002
"Madrid, Comunidad de",2022,11.2175,83514.0,135.77545
"Madrid, Comunidad de",2023,10.205,69955.0,141.11790000000002
"Madrid, Comunidad de",2024,,77942.0,152.9186
"Madrid, Comunidad de",2025,,81633.0,172.50125
"Madrid, Comunidad de",2026,,5668.0,
Melilla,2007,,1170.0,149.35250000000002
Melilla,2008,,631.0,149.30765000000002
Melilla,2009,,579.0,141.39659999999998
Melilla,2010,,865.0,137.98409999999998
Melilla,2011,,497.0,127.8243
Melilla,2012,,424.0,110.85754999999999
Melilla,2013,,365.0,98.32849999999999
Melilla,2014,,411.0,97.41245
Melilla,2015,,471.0,100.0
Melilla,2016,,490.0,103.22335000000001
Melilla,2017,,497.0,107.44324999999999
Melilla,2018,,581.0,113.303
Melilla,2019,,511.0,118.69775
Melilla,2020,,493.0,121.5112
Melilla,2021,19.805,714.0,126.4002
Melilla,2022,21.535,668.0,135.77545
Melilla,2023,23.4475,499.0,141.11790000000002
Melilla,2024,,559.0,152.9186
Melilla,2025,,667.0,172.50125
Melilla,2026,,80.0,
"Murcia, Región de",2007,,31344.0,149.35250000000002
"Murcia, Región de",2008,,24913.0,149.30765000000002
"Murcia, Región de",2009,,18136.0,141.39659999999998
"Murcia, Región de",2010,,16338.0,137.98409999999998
"Murcia, Región de",2011,,12208.0,127.8243
"Murcia, Región de",2012,,10041.0,110.85754999999999
"Murcia, Región de",2013,,10533.0,98.32849999999999
"Murcia, Región de",2014,,9837.0,97.41245
"Murcia, Región de",2015,,11023.0,100.0
"Murcia, Región de",2016,,11731.0,103.22335000000001
"Murcia, Región de",2017,,13185.0,107.44324999999999
"Murcia, Región de",2018,,16437.0,113.303
"Murcia, Región de",2019,,16673.0,118.69775
"Murcia, Región de",2020,,15021.0,121.5112
"Murcia, Región de",2021,14.285,19785.0,126.4002
"Murcia, Región de",2022,13.2625,22694.0,135.77545
"Murcia, Región de",2023,12.635,21524.0,141.11790000000002
"Murcia, Región de",2024,,23548.0,152.9186
"Murcia, Región de",2025,,27364.0,172.50125
"Murcia, Región de",2026,,2002.0,
"Navarra, Comunidad Foral de",2007,,9592.0,149.35250000000002
"Navarra, Comunidad Foral de",2008,,6399.0,149.30765000000002
"Navarra, Comunidad Foral de",2009,,5033.0,141.39659999999998
"Navarra, Comunidad Foral de",2010,,5861.0,137.98409999999998
"Navarra, Comunidad Foral de",2011,,4496.0,127.8243
"Navarra, Comunidad Foral de",2012,,3993.0,110.85754999999999
"Navarra, Comunidad Foral de",2013,,3865.0,98.32849999999999
"Navarra, Comunidad Foral de",2014,,4386.0,97.41245
"Navarra, Comunidad Foral de",2015,,4286.0,100.0
"Navarra, Comunidad Foral de",2016,,4631.0,103.22335000000001
"Navarra, Comunidad Foral de",2017,,5145.0,107.44324999999999
"Navarra, Comunidad Foral de",2018,,6102.0,113.303
"Navarra, Comunidad Foral de",2019,,5711.0,118.69775
"Navarra, Comunidad Foral de",2020,,4921.0,121.5112
"Navarra, Comunidad Foral de",2021,10.594999999999999,6549.0,126.4002
"Navarra, Comunidad Foral de",2022,9.57,6799.0,135.77545
"Navarra, Comunidad Foral de",2023,9.8825,6322.0,141.11790000000002
"Navarra, Comunidad Foral de",2024,,7337.0,152.9186
"Navarra, Comunidad Foral de",2025,,7495.0,172.50125
"Navarra, Comunidad Foral de",2026,,751.0,
País Vasco,2007,,26140.0,149.35250000000002
País Vasco,2008,,19167.0,149.30765000000002
País Vasco,2009,,15316.0,141.39659999999998
País Vasco,2010,,19216.0,137.98409999999998
País Vasco,2011,,15451.0,127.8243
País Vasco,2012,,12329.0,110.85754999999999
País Vasco,2013,,10802.0,98.32849999999999
País Vasco,2014,,11752.0,97.41245
País Vasco,2015,,14227.0,100.0
País Vasco,2016,,15962.0,103.22335000000001
País Vasco,2017,,17787.0,107.44324999999999
País Vasco,2018,,20250.0,113.303
País Vasco,2019,,20705.0,118.69775
País Vasco,2020,,17882.0,121.5112
País Vasco,2021,9.8375,21684.0,126.4002
País Vasco,2022,8.5975,23651.0,135.77545
País Vasco,2023,7.555,20368.0,141.11790000000002
País Vasco,2024,,23221.0,152.9186
País Vasco,2025,,26644.0,172.50125
País Vasco,2026,,2361.0,
"Rioja, La",2007,,7516.0,149.35250000000002
"Rioja, La",2008,,5627.0,149.30765000000002
"Rioja, La",2009,,4931.0,141.39659999999998
"Rioja, La",2010,,3914.0,137.98409999999998
"Rioja, La",2011,,3227.0,127.8243
"Rioja, La",2012,,2998.0,110.85754999999999
"Rioja, La",2013,,3023.0,98.32849999999999
"Rioja, La",2014,,2249.0,97.41245
"Rioja, La",2015,,2561.0,100.0
"Rioja, La",2016,,2701.0,103.22335000000001
"Rioja, La",2017,,3027.0,107.44324999999999
"Rioja, La",2018,,3599.0,113.303
"Rioja, La",2019,,3716.0,118.69775
"Rioja, La",2020,,3214.0,121.5112
"Rioja, La",2021,11.52,4433.0,126.4002
"Rioja, La",2022,9.5075,4966.0,135.77545
"Rioja, La",2023,9.1625,4048.0,141.11790000000002
"Rioja, La",2024,,4821.0,152.9186
"Rioja, La",2025,,5607.0,172.50125
"Rioja, La",2026,,485.0,
