provincia,anyo,entradas,salidas,saldo_neto
Huesca,2011,2096,4331,-2235
Huesca,2012,14515,3627,10888
Huesca,2013,7272,3512,3760
Huesca,2014,1672,3403,-1731
Huesca,2015,5333,3518,1815
Huesca,2016,9338,3405,5933
Huesca,2017,4315,3360,955
Huesca,2018,6424,3449,2975
Huesca,2019,6901,3232,3669
Huesca,2020,4758,2806,1952
Huesca,2021,7919,3500,4419
Jaén,2008,7450,8200,-750
Jaén,2009,4213,7379,-3166
Jaén,2010,7230,7652,-422
Jaén,2011,6422,7746,-1324
Jaén,2012,12101,9309,2792
Jaén,2013,1735,8552,-6817
Jaén,2014,18491,8116,10375
Jaén,2015,3668,8317,-4649
Jaén,2016,6834,7978,-1144
Jaén,2017,13570,8086,5484
Jaén,2018,4623,7921,-3298
Jaén,2019,5506,7859,-2353
Jaén,2020,4760,6106,-1346
Jaén,2021,6130,7442,-1312
León,2008,69275,6310,62965
León,2009,15391,6022,9369
León,2010,5058,6210,-1152
León,2011,8581,6161,2420
León,2012,6639,5820,819
León,2013,1979,6004,-4025
León,2014,13022,6118,6904
León,2015,6196,6031,165
León,2016,9816,5973,3843
León,2017,4730,5674,-944
León,2018,5084,5961,-877
León,2019,5011,5830,-819
León,2020,3488,4646,-1158
León,2021,37083,5305,31778
Lleida,2008,15853,7202,8651
Lleida,2009,69311,6705,62606
Lleida,2010,21586,7006,14580
Lleida,2011,5707,6940,-1233
Lleida,2012,4874,6805,-1931
Lleida,2013,17907,6477,11430
Lleida,2014,3238,6151,-2913
Lleida,2015,3186,6421,-3235
Lleida,2016,5731,5998,-267
Lleida,2017,2977,5713,-2736
Lleida,2018,5483,5818,-335
Lleida,2019,5480,5777,-297
Lleida,2020,6190,4861,1329
Lleida,2021,5311,5400,-89
Lugo,2008,10629,3764,6865
Lugo,2009,2241,3695,-1454
Lugo,2010,6519,3826,2693
Lugo,2011,6851,3875,2976
Lugo,2012,20244,3575,16669
Lugo,2013,4674,3343,1331
Lugo,2014,4736,3438,1298
Lugo,2015,4500,3531,969
Lugo,2016,8344,3376,4968
Lugo,2017,10652,3381,7271
Lugo,2018,2924,3729,-805
Lugo,2019,3922,3689,233
Lugo,2020,11312,2870,8442
Lugo,2021,2414,3342,-928
Madrid,2008,2006,79288,-77282
Madrid,2009,21637,73490,-51853
Madrid,2010,2553,72549,-69996
Madrid,2011,1891,67771,-65880
Madrid,2012,5822,62397,-56575
Madrid,2013,13692,59207,-45515
Madrid,2014,5055,57410,-52355
Madrid,2015,4173,55077,-50904
Madrid,2016,2533,55188,-52655
Madrid,2017,1918,54993,-53075
