cod_provincia,nombre_prov,year,renta__media_de_la_renta_por_unidad_de_consumo,renta__mediana_de_la_renta_por_unidad_de_consumo,renta__renta_bruta_media_por_hogar,renta__renta_bruta_media_por_persona,renta__renta_neta_media_por_hogar,renta__renta_neta_media_por_persona,ingreso__fuente_de_ingreso_otras_prestaciones,ingreso__fuente_de_ingreso_otros_ingresos,ingreso__fuente_de_ingreso_pensiones,ingreso__fuente_de_ingreso_prestaciones_por_desempleo,ingreso__fuente_de_ingreso_salario,desig__distribucion_de_la_renta_p80_p20,desig__indice_de_gini,demog__edad_media_de_la_poblacion,demog__poblacion,demog__porcentaje_de_hogares_unipersonales,demog__porcentaje_de_poblacion_de_65_y_mas_anos,demog__porcentaje_de_poblacion_espanola,demog__porcentaje_de_poblacion_menor_de_18_anos,demog__tamano_medio_del_hogar,n_municipios_con_dato
35,Las Palmas,2017,15165.0,13650.0,31406.0,11564.5,26999.0,9905.0,3.9,11.75,16.2,3.1500000000000004,62.85,2.6500000000000004,31.25,41.2,18.2165,27.25,14.55,92.1,16.5,2.7,34
35,Las Palmas,2018,16025.0,14350.0,33164.5,12183.5,28566.0,10440.0,3.9499999999999997,12.2,16.45,2.8499999999999996,62.95,2.6,30.25,41.8,18.3815,27.799999999999997,15.2,91.85,16.200000000000003,2.7,34
35,Las Palmas,2019,16680.0,15050.0,34822.0,12820.0,29949.5,10954.5,4.1,12.149999999999999,16.25,2.95,63.05,2.5,30.15,42.3,18.5885,28.0,15.6,91.4,15.649999999999999,2.6500000000000004,34
35,Las Palmas,2020,16633.0,14350.0,34018.5,12753.0,29387.0,10945.5,4.6,10.3,17.6,9.05,56.75,2.6,30.75,42.8,18.5255,28.25,16.15,91.6,15.15,2.6,34
35,Las Palmas,2021,17362.5,15400.0,35787.5,13507.0,30623.0,11503.0,4.85,11.9,17.35,6.35,59.0,2.6,30.15,43.3,18.496000000000002,28.450000000000003,16.799999999999997,91.55000000000001,14.8,2.6,34
35,Las Palmas,2022,18847.5,17150.0,38684.5,14561.5,32988.5,12415.5,4.75,12.1,17.4,2.6,61.35,2.5,29.6,43.65,18.778,28.549999999999997,17.5,92.1,14.600000000000001,2.6,34
35,Las Palmas,2023,20301.0,17850.0,41916.0,15996.0,35575.5,13458.0,4.8,12.1,17.200000000000003,2.4,61.3,2.4,28.549999999999997,44.15,18.909,28.9,17.9,91.75,14.25,2.6,34
36,Pontevedra,2015,13440.0,12250.0,27616.0,10109.0,24332.0,8954.5,3.7,9.0,29.35,3.55,52.95,2.45,29.8,44.65,6.2215,27.85,22.4,98.1,15.25,2.6,62
36,Pontevedra,2016,13812.0,12950.0,28279.0,10370.0,24511.0,9092.0,3.7,9.0,28.5,3.1,54.2,2.4,29.5,45.0,6.362,26.8,22.7,98.2,15.2,2.6,61
36,Pontevedra,2017,14433.0,12950.0,29417.0,10791.0,25520.0,9467.0,3.8,9.0,28.4,2.7,54.9,2.3,28.6,45.2,6.303,28.1,22.8,98.0,15.0,2.6,61
